hkl	s1	hs2
2015	-0.36e-6	2.60e-6
2111	-0.39e-6	2.66e-6
1017	-0.29e-6	2.38e-6
219	-0.36e-6	2.62e-6
217 	-0.36e-6	2.59e-6
1015	-0.29e-6	2.39e-6
213	-0.32e-6	2.48e-6
211	-0.30e-6	2.43e-6
209	-0.39e-6	2.67e-6
1013	-0.32e-6	2.45e-6
208	-0.39e-6	2.66e-6
203	-0.33e-6	2.50e-6
201	-0.30e-6	2.44e-6
109	-0.35e-6	2.56e-6
107	-0.38e-6	2.63e-6
105	-0.39e-6	2.67e-6
104	-0.39e-6	2.66e-6
103	-0.36e-6	2.60e-6
101	-0.32e-6	2.47e-6
