hkl	s1	hs2
114	-1.44e-6	6.06e-6
211	-1.45e-6	6.12e-6
210	-1.44e-6	6.06e-6
203	-1.54e-6	6.35e-6
104	-1.24e-6	5.54e-6
202	-1.54e-6	6.35e-6
004	-1.04e-6	4.90e-6
201	-1.46e-6	6.15e-6
112	-1.54e-6	6.35e-6
200	-1.44e-6	6.06e-6
103	-1.35e-6	5.83e-6
110	-1.44e-6	6.06e-6
112	-1.46e-6	6.18e-6
101	-1.54e-6	6.35e-6
002	-1.04e-6	4.90e-6
100	-1.44e-6	6.06e-6
