hkl	s1	hs2
330	-0.56e-6	3.01e-6
4010	-0.79e-6	3.70e-6
416	-0.76e-6	3.57e-6
2014	-0.77e-6	3.32e-6
3012	-0.72e-6	3.51e-6
1310	-0.58e-6	3.09e-6
2110	-0.68e-6	3.42e-6
226	-0.66e-6	3.32e-6
300	-0.56e-6	3.01e-6
214	-0.72e-6	3.50e-6
116	-0.66e-6	3.32e-6
024	-0.53e-6	2.94e-6
113	-0.66e-6	3.32e-6
110	-0.56e-6	3.01e-6
104	-0.72e-6	3.51e-6
012	-0.53e-6	2.94e-6
