hkl	s1	hs2
218	-0.39	2.67
2010	-0.36	2.60
217	-0.39	2.66
209	-0.38	2.64
300	-0.30	2.43
215	-0.36	2.60
214	-0.35	2.57
1010	-0.29	2.39
213	-0.33	2.51
212	-0.32	2.48
109	-0.32	2.44
206	-0.39	2.67
205	-0.39	2.65
202	-0.33	2.50
106	-0.35	2.56
110	-0.30	2.43
105	-0.36	2.60
104	-0.39	2.65
103	-0.39	2.67
102	-0.36	2.60
