hkl	s1	hs2
212	-0.30e-6	2.06e-6
113	-0.26e-6	1.81e-6
301	-0.43e-6	2.51e-6
300	-0.46e-6	2.40e-6
103	-0.30e-6	1.89e-6
211	-0.41e-6	2.44e-6
202	-0.32e-6	1.95e-6
003	-0.32e-6	2.01e-6
210	-0.49e-6	2.70e-6
112	-0.26e-6	1.86e-6
201	-0.37e-6	2.31e-6
102	-0.28e-6	1.82e-6
200	-0.46e-6	2.74e-6
111	-0.35e-6	2.17e-6
002	-0.32e-6	2.01e-6
110	-0.49e-6	2.70e-6
101	-0.32e-6	1.95e-6
100	-0.46e-6	2.74e-6
001	-0.32e-6	2.01e-6
